Date,Open-p,High-p,Low-p,Close-p,Adj Close-p,Volume-p,Open-z,High-z,Low-z,Close-z,Adj Close-z,Volume-z
6/29/2020,88.3125,90.542503,87.82,90.445,89.992256,130646000,2690.01001,2696.800049,2630.080078,2680.379883,2680.379883,4223400
6/30/2020,90.019997,91.495003,90,91.199997,90.743469,140223200,2685.070068,2769.629883,2675.030029,2758.820068,2758.820068,3769700
7/1/2020,91.279999,91.839996,90.977501,91.027496,90.571838,110737200,2757.98999,2895,2754,2878.699951,2878.699951,6363400
7/2/2020,91.962502,92.6175,90.910004,91.027496,90.571838,114041600,2912.01001,2955.560059,2871.100098,2890.300049,2890.300049,6593400
7/6/2020,92.5,93.945,92.467499,93.462502,92.994652,118655600,2934.969971,3059.879883,2930,3057.040039,3057.040039,6880600
7/7/2020,93.852501,94.654999,93.057503,93.172501,92.706093,112424400,3058.550049,3069.550049,2990,3000.120117,3000.120117,5257500
7/8/2020,94.18,95.375,94.089996,95.342499,94.865234,117092000,3022.610107,3083.969971,3012.429932,3081.110107,3081.110107,5037600
7/9/2020,96.262497,96.317497,94.672501,95.752502,95.273193,125642800,3115.98999,3193.879883,3074,3182.629883,3182.629883,6388700
7/10/2020,95.334999,95.980003,94.705002,95.919998,95.439842,90257200,3191.76001,3215,3135.699951,3200,3200,5486000
7/13/2020,97.264999,99.955002,95.2575,95.477501,94.999557,191649200,3251.060059,3344.290039,3068.389893,3104,3104,7720400
7/14/2020,94.839996,97.254997,93.877502,97.057503,96.571655,170989200,3089,3127.379883,2950,3084,3084,7231900
7/15/2020,98.989998,99.247498,96.489998,97.724998,97.235809,153198000,3080.22998,3098.350098,2973.179932,3008.870117,3008.870117,5788900
7/16/2020,96.5625,97.404999,95.904999,96.522499,96.03933,110577600,2971.060059,3032,2918.22998,2999.899902,2999.899902,6394200
7/17/2020,96.987503,97.147499,95.839996,96.327499,95.845299,92186800,3009,3024,2948.449951,2961.969971,2961.969971,4761300
7/20/2020,96.417503,98.5,96.0625,98.357498,97.865143,90318000,3000.199951,3201.360107,2994.02002,3196.840088,3196.840088,7598200
7/21/2020,99.172501,99.25,96.7425,97,96.514442,103646000,3232.48999,3240.580078,3105.719971,3138.290039,3138.290039,6135000
7/22/2020,96.692497,97.974998,96.602501,97.272499,96.785568,89001600,3125,3150,3065.26001,3099.909912,3099.909912,4104200
7/23/2020,96.997498,97.077499,92.010002,92.845001,92.380234,197004400,3098.27002,3098.27002,2970,2986.550049,2986.550049,5656900
7/24/2020,90.987503,92.970001,89.144997,92.614998,92.151382,185438800,2930,3031.580078,2888,3008.909912,3008.909912,5632400
7/27/2020,93.709999,94.904999,93.480003,94.809998,94.335396,121214000,3062,3098,3015.77002,3055.209961,3055.209961,4170500
7/28/2020,94.3675,94.550003,93.247498,93.252502,92.785706,103625600,3054.27002,3077.090088,2995.76001,3000.330078,3000.330078,3126700
7/29/2020,93.75,95.230003,93.712502,95.040001,94.564247,90329200,3030.98999,3039.159912,2996.77002,3033.530029,3033.530029,2974100
7/30/2020,94.1875,96.297501,93.767502,96.190002,95.708496,158130000,3014,3092,3005,3051.879883,3051.879883,6128300
7/31/2020,102.885002,106.415001,100.824997,106.260002,105.728088,374336800,3244,3246.820068,3151,3164.679932,3164.679932,8085500
8/3/2020,108.199997,111.637497,107.892502,108.9375,108.392181,308151200,3180.51001,3184,3104,3111.889893,3111.889893,5074700
